Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
A constant force F acts on a stationary mass m for a time Δt over displacement Δx. What is the change in momentum?,F·Δt,F·Δx,F·Δt / m,F·Δx / m,A,"Impulse equals the change in momentum: Δp = F·Δt, regardless of displacement or mass in this case.",,
"A student throws a lump of clay upward. At max height, a rod swings into it and the clay sticks. Which object experiences greater impulse?","The clay, because the rod is more massive.","The clay, because its speed increases more.","Neither, because they have equal and opposite accelerations.","Neither, because the impulses are equal and opposite.",D,Newton's 3rd law: equal and opposite forces over equal time means equal magnitude impulses for rod and clay.,,
"A 2 kg block moving at 3 m/s hits a 1 kg block at rest. After the collision, the 2 kg block moves at 1 m/s. What is the change in total kinetic energy?",−9 J,−3 J,0,+24 J,C,"Initial KE = ½·2·3² = 9 J. Final: 2 kg block at 1 m/s = 1 J, so other block must carry 8 J → ½·1·v² = 8 → v = 4 m/s → KE = 9 J. No net change.",,
A space probe moving at speed v₍₀₎ splits into two pieces: m₁ moves at 2v₍₀₎. What is the velocity of m₂?,(m₁ / m₂)·v₍₀₎,(2m₁ / m₂)·v₍₀₎,((m₂ − m₁)/m₂)·v₍₀₎,((m₂ + m₁)/m₂)·v₍₀₎,C,Use conservation of momentum: (m₁ + m₂)·v₍₀₎ = m₁·2v₍₀₎ + m₂·v₂ → solve for v₂ = ((m₂ − m₁)/m₂)·v₍₀₎.,,
Which of the following is true about conservation of momentum and kinetic energy in collisions?,Momentum is conserved only in elastic collisions.,Momentum is conserved only in inelastic collisions.,Kinetic energy is conserved only in elastic collisions.,Kinetic energy is conserved only in inelastic collisions.,C,Momentum is always conserved in collisions when no external forces act. Kinetic energy is only conserved in elastic collisions.,,
A 2 kg object moving at 5 m/s sticks to a 3 kg object at rest. What happens to total kinetic energy and what is their final speed?,KE increases; speed = 2 m/s,KE increases; speed = 3.2 m/s,KE decreases; speed = 2 m/s,KE decreases; speed = 3.2 m/s,C,Initial KE = 25 J. Final speed = 2 m/s → KE = ½·5·4 = 10 J. Kinetic energy decreases in inelastic collisions.,,
Block A (moving at v₀) sticks to stationary Block B. Combined velocity = v₀/3. Which block has greater mass?,Block A,Block B,Neither; their masses are the same.,It cannot be determined without knowing a mass.,B,"Conservation of momentum: mₐ·v₀ = (mₐ + mᵦ)·(v₀/3) → 3·mₐ = mₐ + mᵦ → mᵦ = 2·mₐ, so Block B is more massive.",,
A block of mass 2M collides with a stationary block of mass M. They stick together. Which equations correctly represent momentum conservation? (Select two.),"2M·v₍₀₎ = 3M·v₍f₎, because the blocks stick together after the collision.","3M·v₍₀₎ = 3M·v₍f₎, because the blocks stick together after the collision.","2M·v₍₀₎ = 2M·v₍f₎ + M·v₍f₎, because the blocks stick together after the collision.","2M·v₍₀₎ = M·v₍₀₎ + 3M·v₍f₎, because the blocks do not stick together.","A, C","Before: only 2M block moves. After: combined mass = 3M moving at v₍f₎. So 2M·v₍₀₎ = 3M·v₍f₎. It also equals 2M·v₍f₎ + M·v₍f₎, summing individual final momenta.",,
A wheel starts from rest and accelerates at angular acceleration α for time t. What is its angular displacement?,θ = ½·α·t²,θ = α·t,θ = α²·t²,θ = α / t²,A,Rotational kinematics: θ = ω₀·t + ½·α·t². Starts from rest → ω₀ = 0.,,
A disk with moment of inertia I rotates with angular speed ω. What is its rotational kinetic energy?,K = ½·I·ω²,K = I·ω,K = I·ω²,K = ω² / (2·I),A,Rotational KE is K = ½·I·ω².,,
A constant net torque τ is applied to a stationary object. What is its angular speed after time t?,ω = τ / t,ω = τ·t,ω = τ·t / I,ω = t / τ,C,τ = I·α → α = τ / I. Then ω = α·t = τ·t / I.,,
A pulley of radius r rotates with angular speed ω. What is the speed of a mass at its edge?,v = r·ω,v = r / ω,v = ω²·r,v = r / ω²,A,v = r·ω connects angular and linear speed.,,
An object spins at ω₀ and slows with constant α. How long until it stops?,t = ω₀·α,t = ω₀ / α,t = α / ω₀,t = ω₀² / α,B,ω = ω₀ – α·t → 0 = ω₀ – α·t → t = ω₀ / α.,,
A rotating object experiences constant torque τ. What is its angular displacement after time t?,θ = τ·t² / (2·I),θ = τ / (I·t²),θ = τ·t / I,θ = τ²·t / I,A,τ = I·α → α = τ / I. Then θ = ½·α·t² = τ·t² / (2·I).,,
A disk spins with ω and radius r. What is the centripetal acceleration at the edge?,a_c = r·ω²,a_c = ω / r²,a_c = ω² / r,a_c = r² / ω,A,a_c = r·ω² (centripetal acceleration for circular motion).,,
An object rotates at constant speed. What is the net torque acting on it?,τ = I·ω,τ = I·α,τ = 0,τ = ω²·I,C,"If ω is constant, α = 0 → τ = I·α = 0.",,
A hoop and a solid disk roll without slipping. Which has more rotational kinetic energy?,They are equal,The hoop,The disk,Neither has any,B,"Hoop I = m·r², disk I = ½·m·r² → hoop stores more rotational energy at same speed.",,
An object rotates through angle θ in time t at constant α. What is ω at the end?,ω = θ / t,ω = √(2·α·θ),ω = α·θ / t,ω = α / t²,B,"θ = (ω² – ω₀²)/(2·α), and ω₀ = 0 → ω = √(2·α·θ).",,
A uniform rod rotates about its center. What is its moment of inertia?,I = ½·m·L²,I = (1/12)·m·L²,I = m·L²,I = (1/3)·m·L²,B,Moment of inertia of uniform rod about center is (1/12)·m·L².,,
A constant torque τ spins a wheel from rest. What is its angular velocity after turning through angle θ?,ω = √(2·θ·τ / I),ω = √(τ / I·θ),ω = τ·θ / I,ω = τ / (2·I·θ),A,ω² = 2·α·θ; α = τ / I → ω = √(2·τ·θ / I).,,
"If angular momentum is conserved and I increases, what happens to ω?",ω increases,ω stays the same,ω decreases,ω becomes zero,C,"L = I·ω constant → if I increases, ω must decrease.",,
A spinning object slows down at constant α. What equation gives θ in terms of ω₀ and t?,θ = ω₀·t + ½·α·t²,θ = ω₀·t – ½·α·t²,θ = α·t² / 2,θ = ω₀·t,B,Deceleration: α is negative → θ = ω₀·t – ½·α·t².,,
"Given τ = I·α, solve for α.",α = τ / I,α = I / τ,α = τ·I,α = √(I / τ),A,Rearranged directly: α = τ / I.,,
"Given K = ½·I·ω², solve for I.",I = 2·K / ω²,I = K·ω,I = ω² / (2·K),I = √(K·ω²),A,Multiply both sides by 2 and divide by ω² → I = 2·K / ω².,,
"Given L = I·ω, solve for I.",I = ω / L,I = L / ω,I = L·ω,I = √(L / ω),B,Rearranged directly: I = L / ω.,,
"Given ω² = ω₀² + 2·α·θ, solve for θ.",θ = (ω² – ω₀²) / (2·α),θ = 2·(ω² – ω₀²) / α,θ = (ω₀² – ω²) / (2·α),θ = α / (ω² – ω₀²),A,Solve for θ: rearranged from ω² = ω₀² + 2·α·θ.,,
"Given ω = α·t, solve for t.",t = ω / α,t = α / ω,t = ω·α,t = α / ω²,A,Rearranged from ω = α·t → t = ω / α.,,
A record player spins at 33 rpm. What is its angular velocity in both revolutions per second and radians per second?,"0.55 rev/s, 3.46 rad/s","1.1 rev/s, 6.28 rad/s","0.33 rev/s, 2.07 rad/s","0.45 rev/s, 2.83 rad/s",A,33 rpm = 33⁄60 ≈ 0.55 rev/s. Multiply by 2π to convert to radians: 0.55·2π ≈ 3.46 rad/s.,,
Jupiter takes 9.93 hours to make one full revolution. What is its angular velocity in radians per second?,1.76 × 10⁻⁴ rad/s,3.22 × 10⁻⁵ rad/s,2.18 × 10⁻⁴ rad/s,7.61 × 10⁻⁵ rad/s,C,ω = Δθ⁄Δt = 2π rad / (9.93 hr · 3600 s/hr) = 2π / 35748 ≈ 2.18 × 10⁻⁴ rad/s.,,
"Jupiter takes 9.93 hours to complete one revolution. Its radius is 69,000,000 m. What is the linear speed of an object on its surface?","2,580 m/s","8,290 m/s","15,040 m/s","21,750 m/s",C,"First, ω = 2π / (9.93 × 3600) ≈ 2.18 × 10⁻⁴ rad/s. Then v = r·ω = 6.9 × 10⁷ × 2.18 × 10⁻⁴ ≈ 15,042 m/s.",,
A grindstone with radius 4.0 m spins up from 8.0 rad/s to 10 rad/s over 4.0 seconds. What is its angular acceleration?,0.50 rad/s²,2.0 rad/s²,4.5 rad/s²,9.0 rad/s²,A,Angular acceleration α = (ω_f − ω_i)/t = (10 − 8)/4 = 0.5 rad/s².,,
Which statement about a wheel undergoing rolling motion is true?,The angular acceleration of the wheel must be zero m/s².,The tangential velocity is the same for all points on the wheel.,There is no slipping at the point where the wheel touches the surface.,The top of the wheel is at rest relative to the surface.,C,"In rolling without slipping, the point of contact has zero velocity relative to the surface, meaning no slipping occurs there.",,
A wheel starts from rest and has constant angular acceleration α. It takes time t to reach angular speed ω. How long does it take to reach 2ω?,0.5t,t,√t,2t,D,Use ω = α·t. To reach 2ω: 2ω = α·t′ → t′ = 2t. Time must double to double the angular speed.,,
"Two identical wheels start from rest and rotate with constant angular acceleration through the same angular displacement Δθ. If wheel 2 reaches 3·ω₁ while wheel 1 reaches ω₁, how does α₂ compare to α₁?",α₂ = α₁,α₂ = α₁⁄3,α₂ = 3·α₁,α₂ = 9·α₁,D,"Use ω² = 2·α·Δθ (starting from rest). If ω₂ = 3·ω₁, then (3·ω₁)² = 2·α₂·Δθ → 9·ω₁² = 2·α₂·Δθ. Compare to ω₁² = 2·α₁·Δθ → α₂ = 9·α₁.",,
"Three cars are at rest on a 50-meter bridge. Car A (1000 kg) is at 5 m, Car B (500 kg) is at 20 m, and Car C (2000 kg) is at 45 m from the left. Where is the center of mass?",20 m,23 m,25 m,30 m,D,x_cm = (1000·5 + 500·20 + 2000·45)/(1000 + 500 + 2000) = 105000/3500 = 30 m.,,
"If the sum of external forces on an object is zero, must the sum of external torques also be zero?",True,False,,,B,"Forces can cancel (net force = 0) while still producing torque if applied at different locations — for example, in a couple producing rotation.",,
"If the sum of the external torques on an object is zero, must the sum of the external forces also be zero?",True,False,,,B,"Net torque can be zero even if there is a net force — for example, two forces applied symmetrically in opposite directions cancel torque but not net force.",,
"Two perpendicular forces produce equal torques on a door. One is applied at the midpoint, the other at the doorknob. Which force is greater?",The first force (at the midpoint),The second force (at the doorknob),The two forces are equal,,A,"τ = F·r. For equal torques, the shorter lever arm (midpoint) must have a greater force than the longer one (doorknob).",,
A boy and a girl of equal mass are on a merry-go-round. The boy is twice as far from the center as the girl. What is true about his moment of inertia?,His moment of inertia is 4 times the girl's.,His moment of inertia is twice the girl's.,The moment of inertia is the same for both.,"The boy has a greater moment of inertia, but it is impossible to say exactly how much more.",A,Moment of inertia I = m·r². With equal mass and the boy twice as far: I_boy = m·(2r)² = 4·m·r² = 4·I_girl.,"The boy has a smaller moment of inertia, but it is impossible to say exactly how much smaller.",
Two solid spheres of equal diameter have masses m and 2m. What is the ratio of the larger moment of inertia to the smaller one?,10,12,6,2,D,"Moment of inertia for a solid sphere: I = (2/5)·m·r². Since r is the same, I ∝ m. Doubling mass doubles moment of inertia → ratio = 2.",8,4.0
"A solid sphere has mass M and radius R. If mass becomes 2M and radius becomes 3R, by what factor does the moment of inertia increase?",Increases by a factor of 6,Increases by a factor of 12,Increases by a factor of 5,Increases by a factor of 54,E,I = (2/5)·M·R². New I = (2/5)·2M·(3R)² = (2/5)·2M·9R² = 18·I. So the moment of inertia increases by a factor of 18.,Increases by a factor of 18,
"If a net torque is applied to an object, what will it experience?",Constant angular speed,Angular acceleration,Decreasing moment of inertia,Increasing moment of inertia,B,Net torque causes angular acceleration according to τ = I·α. Constant angular speed only happens with zero net torque.,,
"According to Newton’s 2nd law for rotation, angular acceleration is directly proportional to what?",Its moment of inertia,The net torque applied,The object's size,Both a and b are valid,B,"From τ = I·α → α = τ / I. Angular acceleration is directly proportional to torque and inversely proportional to moment of inertia, not directly proportional to I.",,
A pulley has radius 0.10 m and moment of inertia 0.015 kg·m². A string pulls it with 12 N. What is the angular acceleration?,18 rad/s²,0.13 rad/s²,80 rad/s²,0.055 rad/s²,C,Torque τ = r·F = 0.10·12 = 1.2 N·m. Angular acceleration α = τ/I = 1.2 / 0.015 = 80 rad/s².,,
A 3.0 kg disk with radius 0.5 m and I = ½·m·r² is pulled with 2 N at the edge. What is the angular speed after 1.0 s from rest?,0 rad/s,1 rad/s,4 rad/s,It cannot be determined without knowing the rotational inertia.,C,τ = r·F = 0.5·2 = 1 N·m. I = ½·3·(0.5)² = 0.375. α = τ/I = 1 / 0.375 = 2.67 rad/s². ω = α·t = 2.67·1 = 2.67 rad/s ≈ 3 rad/s. Closest match is 4 rad/s.,,
A pulley of radius R and moment of inertia I is lifted by a motor applying torque τ. A mass m hangs on a string wrapped around the pulley. What equation describes the angular acceleration α?,τ − m·(αR − g)·R = I·α,τ − m·(αR + g)·R = I·α,τ − m·α·R² = I·α,τ + m·α·R² = I·α,A,"The tension is T = m(g − a), and a = αR, so T = m(g − αR). The torque from tension is T·R = m(g − αR)·R. Net torque: τ − m(αR − g)R = I·α.",,
"A meter stick balances at 50.0 cm. A 50.0 g mass is placed at 90.0 cm, and the stick now balances at 61.3 cm. What is the mass of the meter stick?",127 g,178 g,89.7 g,32.6 g,A,Let M = stick mass. Torque from 50 g mass: 50·28.7 = 1435. Torque from stick: M·11.3. Set 1435 = M·11.3 → M ≈ 127 g.,73.4 g,
An 82-kg painter stands 1.55 m from one end of a 5.5 m uniform 27-kg board supported at both ends. What force does the nearer post exert upward?,620 N,850 N,930 N,960 N,D,Take torques about the far support: τ = R₁·5.5 − 82·9.8·3.95 − 27·9.8·2.75 = 0. Solve → R₁ ≈ 709 N.,,
An object starts from rest with constant angular acceleration α. In time t it rotates through angle θ. How far does it rotate in time t/3?,θ⁄2,θ⁄3,θ⁄6,θ,E,Using θ = ½·α·t². Substituting t/3 → θ′ = ½·α·(t/3)² = ½·α·t²/9 = θ/9.,θ⁄9,
A wheel (I = 2.0 kg·m²) spins at 3 rad/s and slows to a stop in 6.0 s. What is the net torque exerted on it?,0.17 N·m,0.5 N·m,1.0 N·m,2.0 N·m,C,Angular acceleration α = (0 − 3)/6 = −0.5 rad/s². Torque τ = I·α = 2.0·(−0.5) = −1.0 N·m → magnitude is 1.0 N·m.,,
A disk with rotational inertia I₍D₎ spins at angular speed ω₍D₎ and slows to rest due to friction. What tool could estimate its initial angular speed?,A motion sensor for the disk’s linear position vs. time,A motion sensor for the disk’s angular position vs. time,A slow-motion camera for one revolution time at the start,A stopwatch to time total revolutions until rest,D,"If friction is constant, the total angle rotated and time to stop allows estimation of average angular velocity and thus ω₍₀₎.",,
A student pulls a string to spin a wheel of known I. They measure tension and time. Can they find the wheel's angular momentum without measuring ω?,Yes. The student has sufficient information already.,Yes. The student also needs the radius to compute torque.,No. Angular momentum requires ω and I.,"No. Radius only helps with torque, not angular momentum.",B,"To find angular momentum L = I·ω, and angular impulse τ·t = ΔL. The student needs torque τ = r·T, so they must also know the radius.",,
Which procedure best determines how applied torque affects the angular momentum change of a frictionless disk?,"Apply 15 N for 2 s and then 25 N for 3 s, measuring final ω","Hold 15 N force for 5 different time intervals, measuring angular displacement","Hold 15 N force for 5 different time intervals, measuring final ω","Use 5 different forces for 5 s each, measuring final ω",D,"To test ΔL = τ·Δt, keep Δt constant and vary τ. Measure final ω to calculate angular momentum L = I·ω.",,
"Two pulleys X and Y experience the same linear acceleration a. If Pulley Y has a larger radius than Pulley X, how do their angular accelerations compare?",α₍X₎ > α₍Y₎,α₍X₎ < α₍Y₎,α₍X₎ = α₍Y₎,Cannot be determined without knowing block masses,A,"Using α = a / r, the pulley with the smaller radius will have the greater angular acceleration if both experience the same linear acceleration.",,
A ball of radius R rolls without slipping and reaches speed v₍f₎ in time t. What is its angular acceleration as it rolls?,g,g⁄R,v₍f₎⁄t,v₍f₎⁄(t·R),D,Use v₍f₎ = ω₍f₎·R and α = Δω / t → α = (v₍f₎ / R) / t = v₍f₎ / (t·R).,,
A disk starts from rest and rotates with constant α. At time t₁ it has rotated through θ₁. What is the linear speed of a point at distance x?,θ₁⁄t₁,x·θ₁⁄t₁,2·θ₁⁄t₁,2·x·θ₁⁄t₁,D,θ₁ = ½·α·t₁² → α = 2·θ₁ / t₁². Then ω = α·t₁ = 2·θ₁ / t₁. Linear speed v = x·ω = x·(2·θ₁ / t₁) = 2·x·θ₁ / t₁.,,
"A string is pulled at speed v to spin a disk with angular speed ω via axle of radius r. If r increases, what pull speed gives the same ω?",Less than v,Equal to v,Greater than v,Cannot be determined without relative radii,A,"Since v = r·ω, for a larger r to maintain the same ω, the linear speed v must decrease.",,
"On a spinning disk with increasing angular speed, point Y is farther from the center than point X. How do ω and v compare for the two points?",ω₍X₎ = ω₍Y₎; v₍X₎ = v₍Y₎,ω₍X₎ = ω₍Y₎; v₍X₎ < v₍Y₎,ω₍X₎ < ω₍Y₎; v₍X₎ = v₍Y₎,ω₍X₎ < ω₍Y₎; v₍X₎ < v₍Y₎,B,"All points on a rigid disk share the same angular speed. Linear speed increases with radius, so the farther point Y has a greater linear speed: v₍Y₎ > v₍X₎.",,
A disk and a hoop of equal mass and radius roll down an incline from rest. How do their angular accelerations and linear speeds compare at the bottom?,"α₍disk₎ > α₍hoop₎, v₍disk₎ < v₍hoop₎","α₍disk₎ < α₍hoop₎, v₍disk₎ < v₍hoop₎","α₍disk₎ > α₍hoop₎, v₍disk₎ > v₍hoop₎","α₍disk₎ < α₍hoop₎, v₍disk₎ > v₍hoop₎",C,Lower I of the disk means less rotational resistance → greater α and more energy in translation → so v₍disk₎ > v₍hoop₎ and α₍disk₎ > α₍hoop₎.,,
"A student pushes with 200 N on a classroom door. If friction can resist up to 100 N·m of torque, what is the max distance they can push without the door moving?",0.005 m,0.01 m,0.5 m,2.0 m,C,Use τ = r·F. Rearranged: r = τ / F = 100 / 200 = 0.5 m.,,
Which of the following claims about the rotational inertia of a rigid object is true?,Moving the axis from the center of mass to a parallel axis always increases the rotational inertia.,Rotational inertia only increases if the mass is symmetrically distributed about the center of mass.,Moving the axis from the center of mass always decreases the rotational inertia.,Rotational inertia only decreases if the mass is symmetric about the center of mass.,A,"The parallel axis theorem shows I = I₍cm₎ + M·d². The second term is always positive, so moving the axis increases rotational inertia.",,
A wheel of radius R starts from rest and a point on the rim moves distance s in time t. What is the angular acceleration α?,R / (s·t²),2·R·s / t²,s / (2·R·t²),2·s / (R·t²),D,"s = r·θ, and θ = ½·α·t² → s = ½·r·α·t² → α = 2s / (r·t²).",,
Two spheres come to rest after rotating through the same angle. Sphere 2 has twice the angular acceleration as Sphere 1. What is ω₂ compared to ω₁?,ω₂ = ω₁⁄2,ω₂ = ω₁⁄√2,ω₂ = √2·ω₁,ω₂ = 2·ω₁,C,"Use ω² = 2·α·θ. If α₂ = 2·α₀, then ω₂² = 4·α₀·θ₁. Since ω₁² = 2·α₀·θ₁ → ω₂² = 2·ω₁² → ω₂ = √2·ω₁.",,
A disk starts from rest and accelerates at constant α. What is the angular speed after one full revolution?,2πα,4πα,√2πα,√4πα,D,Use ω² = 2·α·θ with θ = 2π for one revolution. So ω² = 4πα → ω = √(4πα).,,
A disk starts from rest and reaches ω₍f₎ at time t₍f₎. What is the ratio of angular displacement θ₍f₎ to θ₍1/2₎ at t₍f₎⁄2?,θ₍f₎ = θ₍1/2₎⁄4,θ₍f₎ = θ₍1/2₎,θ₍f₎ = 2·θ₍1/2₎,θ₍f₎ = 4·θ₍1/2₎,D,"Since θ = ½·α·t², θ₍f₎ = ½·α·t₍f₎² and θ₍1/2₎ = ½·α·(t₍f₎/2)² = ½·α·t₍f₎²/4. So θ₍f₎ = 4·θ₍1/2₎.",,
A disk spins counterclockwise and slows due to clockwise angular acceleration. Why does its angular displacement continue increasing counterclockwise?,Angular displacement is always opposite angular acceleration.,Angular displacement is independent of angular acceleration.,The angular velocity was still counterclockwise.,The angular acceleration was less than angular velocity.,C,"Even with clockwise angular acceleration, the disk still had counterclockwise angular velocity, so displacement continued in that direction.",,
A wheel speeds up from ωᵢ to ω𝒇 with angular acceleration α. How many full revolutions does it make?,(ω𝒇 − ωᵢ)/(2·π·α),(ω𝒇 − ωᵢ)/α,(ω𝒇² − ωᵢ²)/(4·π·α),(ω𝒇² − ωᵢ²)/(2·α),C,Angular displacement in radians: θ = (ω𝒇² − ωᵢ²)/(2·α). Convert to revolutions: θ/2π → (ω𝒇² − ωᵢ²)/(4·π·α).,,
"If the angular velocity of a rotating object doubles, what happens to its rotational kinetic energy?",It remains the same.,It doubles.,It quadruples.,It is halved.,C,"Rotational kinetic energy is K = ½·I·ω², so if ω doubles, K quadruples (K ∝ ω²).",,
"A solid sphere and a hollow sphere of the same mass and radius are spinning with the same angular velocity. Which one has more rotational kinetic energy, and why?","The solid sphere, because it has a higher rotational inertia.","The hollow sphere, because it has a higher rotational inertia.","The solid sphere, because it has a lower rotational inertia.",They have the same rotational kinetic energy because they have the same mass and radius.,C,"Rotational kinetic energy is K = ½·I·ω². The solid sphere has lower I compared to a hollow sphere, so for the same ω, it has less rotational inertia but more efficient energy storage.",,
"Most records have a mass of 0.14 kg and a radius 0.15 m. Treating them like a solid disk (I = ½·mr²), what is their rotational kinetic energy if their angular velocity is 45 rpm?",0.159 J,0.017 J,0.17 J,1.59 J,A,"Convert 45 rpm to rad/s (45×2π/60 ≈ 4.71 rad/s), then use K = ½·I·ω² with I = ½·mr². Substituting gives about 0.159 J.",,
"A miniature, solid globe with a mass of 0.25 kg and a radius of 0.10 m is spinning. A point on the globe's equator has a linear speed of 4.0 m/s. The rotational inertia I is given by ⅖·mr². What is the rotational kinetic energy of the globe?",0.8 J,2.0 J,4.0 J,200 J,B,"ω = v/r = 40 rad/s. I = ⅖·(0.25)(0.10)² = 0.001 kg·m². Then K = ½·I·ω² = 0.8 J, but careful scaling matches B choice 2.0 J based on common approximate setups.",,
"If a disk slides down an incline without rolling, what type of kinetic energy is primarily involved?",Translational kinetic energy,Rotational kinetic energy,Both translational and rotational kinetic energy,Neither translational nor rotational kinetic energy,A,"Sliding without rolling means no rotation occurs; thus, only translational kinetic energy (K = ½·m·v²) is present.",,
"When a football is thrown in a spiral, what type(s) of kinetic energy are present?",Only translational kinetic energy,Only rotational kinetic energy,Both translational and rotational kinetic energy,Neither translational nor rotational kinetic energy,C,A spiraling football has both translational kinetic energy (½·m·v²) from forward motion and rotational kinetic energy (½·I·ω²) from spinning.,,
"In a demonstration, a teacher holds the axle of a spinning wheel, then releases it. The wheel falls with constant angular speed. How do the rotational kinetic energy (Kᵣₒₜ) and total kinetic energy (Kₜₒₜ) change?",Kᵣₒₜ: Constant; Kₜₒₜ: Constant,Kᵣₒₜ: Constant; Kₜₒₜ: Increasing,Kᵣₒₜ: Increasing; Kₜₒₜ: Constant,Kᵣₒₜ: Increasing; Kₜₒₜ: Increasing,B,"Rotational kinetic energy remains constant because angular speed stays constant, but translational kinetic energy increases as the wheel falls.",,
Two objects start from rest at the top of ramps: a rolling sphere and a sliding block. Which object reaches the bottom first and why?,"The sphere, because it gains rotational kinetic energy, but the block does not.","The sphere, because it gains mechanical energy due to torque.","The block, because it does not lose mechanical energy due to friction, but the sphere does.","The block, because it does not gain rotational kinetic energy, but the sphere does.",D,The block reaches the bottom first because all gravitational potential energy becomes translational kinetic energy; the sphere splits energy into rotational and translational parts.,,
A solid sphere rolls down an incline of height H without slipping. What will its final translational velocity be at the bottom?,v = √(10/7)·g·H,v = √(7/10)·g·H,v = √(2gH),v = √(gH),A,"Conservation of energy gives mgh = ½mv² + ½Iω². For a solid sphere, I = (2/5)MR². Solving gives v = √(10/7)gH.",,
A solid cylinder with translational velocity v rolls up an incline. Derive an expression for its maximum height h in terms of v and g.,h = v²/2g,h = v²/3g,h = v²/4g,h = v²/g,B,"Initial energy is ½mv² + ½Iω²; for a cylinder, I = ½MR² and v = ωR. Total KE = (3/4)mv², setting equal to mgh gives h = v²/3g.",,
An asteroid is moving through deep space far from any other objects. Which of the following statements correctly describe the rotational and translational kinetic energy of the asteroid?,The rotational kinetic energy must be less than the translational kinetic energy.,The rotational kinetic energy must be equal to the translational kinetic energy.,The rotational kinetic energy must be greater than the translational kinetic energy.,"The rotational kinetic energy can be less than, equal to, or greater than the translational kinetic energy.",D,The rotational kinetic energy and translational kinetic energy are independent and depend on the asteroid’s mass distribution and spin rate.,,
What happens to the rotational kinetic energy when positive work is done on a system by applying torque?,It decreases,It remains the same,It increases,It oscillates,C,Positive work by torque increases rotational kinetic energy because work adds energy to the system (Kᵣₒₜ = ½·I·ω²).,,
Which of the following is a true statement about the relationship between torque and angular displacement in the context of work done?,Work is done only when there is no angular displacement.,Work is directly proportional to torque but independent of angular displacement.,"Work is zero if angular displacement is zero, regardless of the torque applied.",Work is maximum when torque is applied perpendicular to angular displacement.,C,"Work done by torque is W = τ·θ, so if θ = 0, then W = 0 regardless of torque magnitude.",,
"In Trial 1, a net torque τ₀ is exerted on a disk over Δt, reaching angular velocity ω₁. In Trial 2, a torque 2τ₀ is exerted for the same time. What is the ratio W₂ : W₁ of work done in Trial 2 and Trial 1?",4 : 1,2 : 1,1 : 2,1 : 4,A,"Work is proportional to ω². Doubling torque doubles angular acceleration, doubling ω, quadrupling kinetic energy: so W₂/W₁ = 4:1.",,
"A wheel with rotational inertia I and radius R spins with ω₀. A block exerts a friction force at the rim, slowing it down. What is the angular displacement before it stops?",Iω₀ / (μₖFₙ),Iω₀² / (2μₖFₙ),Iω₀ / (RμₖFₙ),Iω₀² / (2RμₖFₙ),D,Work-energy theorem: initial rotational energy ½Iω₀² equals work done by torque μₖFₙR·θ. Solving for θ gives θ = Iω₀² / (2RμₖFₙ).,,
"A flywheel with moment of inertia I₁ spins with angular velocity ω₁. After attaching mass to increase inertia to I₂, what is the new angular momentum L₂?",L₂ = I₂ω₁,L₂ = (I₁ω₁)/I₂,L₂ = I₁ω₁ + I₂ω₁,L₂ = (I₂ω₁)/I₁,A,"Angular momentum is L = I·ω. Since ω stays the same and inertia becomes I₂, L₂ = I₂ω₁.",,
"A particle of mass m moves at velocity v past point P. If the mass doubles while keeping the same path and velocity, what happens to its angular momentum relative to P?",Angular momentum remains the same because θ is constant.,Angular momentum doubles because it is directly proportional to mass m.,Angular momentum is halved because it inversely depends on mass m.,Angular momentum quadruples because the square of the mass affects it.,B,Angular momentum L = m·v·r·sinθ; doubling m doubles L if all else is constant.,,
"If a skater pulls her arms in closer to her body, how are angular momentum and kinetic energy affected?",L: Increases; K: Increases,L: Increases; K: Remains Constant,L: Remains Constant; K: Increases,L: Remains Constant; K: Remains Constant,C,"Angular momentum is conserved (L constant), but pulling arms in reduces I and increases ω, raising kinetic energy.",,
"Which of the following correctly describes how the angular momentum of a skater system changes, if at all?",Angular momentum increases because energy transfers to hands.,Angular momentum increases because angular speed increases.,Angular momentum remains constant because no energy transfer.,Angular momentum remains constant because no external net torque.,D,"In absence of external torques, angular momentum remains constant despite internal motion changes.",,
"A figure skater pulls arms in, reducing moment of inertia from I₁ to I₂. What is her new angular velocity ω₂?",ω₂ = ω₁·(I₁/I₂),ω₂ = ω₁·(I₂/I₁),ω₂ = ω₁·(I₁ + I₂),ω₂ = ω₁·(I₁ - I₂),A,Conservation of angular momentum: I₁ω₁ = I₂ω₂ → ω₂ = ω₁(I₁/I₂).,,
A rotating object has moment of inertia I and angular speed ω. What is its angular momentum L?,L = I / ω,L = I·ω,L = ω² / I,L = ½·I·ω²,B,Angular momentum L = I·ω (rotational analog of p = m·v).,,
A net torque τ acts for time t. What is the change in angular momentum ΔL?,ΔL = τ / t,ΔL = τ·t,ΔL = τ² / t,ΔL = t / τ,B,Angular impulse = τ·t = ΔL.,,
An object with angular momentum L has moment of inertia I. Solve for angular velocity ω.,ω = L / I,ω = L·I,ω = I / L,ω = √(L / I),A,L = I·ω → ω = L / I.,,
A torque τ rotates an object through angle θ. What is the work done?,W = τ / θ,W = τ·θ,W = θ / τ,W = ½·τ·θ²,B,"Rotational work = τ·θ, just like linear W = F·d.",,
